Fytoken,Symbol Details,Exchange Instrument type,Minimum lot size,Tick size,ISIN,Last update date,Expiry date,Symbol ticker,Exchange,Segment,Scrip code,Underlying scrip code,Strike price,Option type
101123072035056,NIFTY 23 Jul 20 15650 CE,14,50,0.05,0915-1530|1815-1915:,2023-07-13,2023-07-20,NSE:NIFTY2372015650CE,10,11,35056,NIFTY,15650.0,CE
101123072035057,NIFTY 23 Jul 20 15650 PE,14,50,0.05,0915-1530|1815-1915:,2023-07-13,2023-07-20,NSE:NIFTY2372015650PE,10,11,35057,NIFTY,15650.0,PE
101123072069128,NIFTY 23 Jul 20 15700 CE,14,50,0.05,0915-1530|1815-1915:,2023-07-13,2023-07-20,NSE:NIFTY2372015700CE,10,11,69128,NIFTY,15700.0,CE
101123072069133,NIFTY 23 Jul 20 15700 PE,14,50,0.05,0915-1530|1815-1915:,2023-07-13,2023-07-20,NSE:NIFTY2372015700PE,10,11,69133,NIFTY,15700.0,PE
101123072069134,NIFTY 23 Jul 20 15750 CE,14,50,0.05,0915-1530|1815-1915:,2023-07-13,2023-07-20,NSE:NIFTY2372015750CE,10,11,69134,NIFTY,15750.0,CE
101123072069139,NIFTY 23 Jul 20 15750 PE,14,50,0.05,0915-1530|1815-1915:,2023-07-13,2023-07-20,NSE:NIFTY2372015750PE,10,11,69139,NIFTY,15750.0,PE
101123072069140,NIFTY 23 Jul 20 15800 CE,14,50,0.05,0915-1530|1815-1915:,2023-07-13,2023-07-20,NSE:NIFTY2372015800CE,10,11,69140,NIFTY,15800.0,CE
101123072069182,NIFTY 23 Jul 20 15800 PE,14,50,0.05,0915-1530|1815-1915:,2023-07-13,2023-07-20,NSE:NIFTY2372015800PE,10,11,69182,NIFTY,15800.0,PE
101123072069205,NIFTY 23 Jul 20 15850 PE,14,50,0.05,0915-1530|1815-1915:,2023-07-13,2023-07-20,NSE:NIFTY2372015850PE,10,11,69205,NIFTY,15850.0,PE
101123072069183,NIFTY 23 Jul 20 15850 CE,14,50,0.05,0915-1530|1815-1915:,2023-07-13,2023-07-20,NSE:NIFTY2372015850CE,10,11,69183,NIFTY,15850.0,CE
101123072069270,NIFTY 23 Jul 20 15900 PE,14,50,0.05,0915-1530|1815-1915:,2023-07-13,2023-07-20,NSE:NIFTY2372015900PE,10,11,69270,NIFTY,15900.0,PE
101123072069206,NIFTY 23 Jul 20 15900 CE,14,50,0.05,0915-1530|1815-1915:,2023-07-13,2023-07-20,NSE:NIFTY2372015900CE,10,11,69206,NIFTY,15900.0,CE
